name,altitude,latitude,longitude,view_possible
Monte Servin ,3108.0,45.26472222,7.19972222,False
Krönten ,3108.0,46.78222222,8.56944444,False
Gletscherhorn ,3107.0,46.3875,9.56055556,False
Pizz Gallagiun / Galleggione ,3107.0,46.36694444,9.48777778,False
Ochsner ,3107.0,47.04388889,11.81555556,False
Tête de Moïse ,3104.0,44.44055556,6.935,False
Piz la Stretta / Monte Breva ,3104.0,46.47666667,10.04472222,False
Große Ohrenspitze ,3101.0,46.90694444,12.1775,False
Piz Segnas ,3099.0,46.90777778,9.23972222,True
Mont Ouille ,3090.0,45.73166667,6.86638889,True
Lasörling ,3098.0,46.97583333,12.35527778,False
Pte des Cerces ,3098.0,45.06555556,6.48833333,True
Pic des Souffles ,3098.0,44.865,6.13333333,False
Monte Matto ,3097.0,44.225,7.25638889,True
Pflerscher Tribulaun ,3097.0,46.98527778,11.33916667,False
Blockkogel ,3097.0,47.08527778,10.88055556,False
Piz Giuv / Schattig Wichel ,3096.0,46.70194444,8.6925,True
Mont Buet ,3096.0,46.02472222,6.85277778,True
Zwölferkofel / Croda dei Toni ,3094.0,46.61916667,12.35972222,False
Elferkofel / Cima Undici ,3092.0,46.63638889,12.37833333,False
Racherin ,3092.0,47.08111111,12.79444444,False
